Date,Value,Club
June 2010,23000,Arab Contractors SC
January 2011,23000,Arab Contractors SC
May 2011,45000,Arab Contractors SC
July 2011,135000,Arab Contractors SC
Dec 2011,270000,Arab Contractors SC
May 2012,1350000,Arab Contractors SC
July 2012,2250000,Basel FC
September 2012,3600000,Basel FC
April 2013,4500000,Basel FC
June 2013,5850000,Basel FC
November 2013,7650000,Basel FC
February 2014,1170000,Chelsea FC
August 2014,1170000,Chelsea FC
February 2015,9000000,Fiorentina FC
March 2015,10800000,Fiorentina FC
July 2015,10800000,Chelsea FC
November 2015,16200000,Roma
January 2016,18000000,Roma
April 2016,20700000,Roma
July 2016,24300000,Roma
January 2017,27000000,Roma
June 2017,31500000,Roma
October 2017,36000000,Liverpool FC
January 2018,72000000,Liverpool FC
May 2018,135000000,Liverpool FC
